@RELATION
@ATTRIBUTE percent_diacritics_ogonek Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE percent_diacritics_grave Continuous
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE percent_diacritics_ring_above Continuous
@ATTRIBUTE percent_diacritics_tilde Continuous
@ATTRIBUTE percent_diacritics_breve Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_diacritics_horn Continuous
@ATTRIBUTE percent_diacritics_acute Continuous
@ATTRIBUTE percent_diacritics_hook_above Continuous
@ATTRIBUTE percent_diacritics_circumflex Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_diacritics_caron Continuous
@ATTRIBUTE percent_diacritics_dot_below Continuous
@ATTRIBUTE percent_diacritics_macron Continuous
@ATTRIBUTE percent_diacritics_cedilla Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE percent_diacritics_diaeresis Continuous
@ATTRIBUTE avg_diacritics_per_word Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
0, 5.0, 0, 1.1, 1.91666666667, 0, 0, 0, 6.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0, RUSSIAN
0.0, 6.0, 0.0, 1.0, 2.11111111111, 0.0, 0.0, 1.0, 4.16666666667, 0.0, 0.0, 0.0, 0.0, 0.166666666667, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.166666666667, 0.833333333333, 0, RUSSIAN
0.0, 2.0, 0.0, 1.2, 3.8, 0.0, 0.0, 0.0, 12.0, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 1.0, 0.5, 1.0, 0, RUSSIAN
0, 10.0, 0, 1.0, 1.75, 0, 0, 0, 4.9, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, 0, 0.0, 0.9, 0, RUSSIAN
0, 6.0, 0, 1.07142857143, 1.89473684211, 0, 0, 0, 8.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0, RUSSIAN
0.0, 5.0, 0.0, 1.18181818182, 3.07142857143, 0.0, 0.0, 0.5, 10.8, 0.0, 0.0, 0.0, 0.0, 0, 0.0, 0.0, 0.0, 0.0, 0, 0.5, 0.4, 1.0, 0, RUSSIAN
0.0, 31.0, 0.0, 1.08333333333, 2.60869565217, 0.0, 0.0, 1.0, 4.67741935484, 0.0, 0.0, 0.0, 0.0, 0.516129032258, 0.0, 0.0, 0.0, 0.0, 0.322580645161, 0.0, 0.0322580645161, 0.774193548387, 0, RUSSIAN
0.0, 30.0, 0.0, 1.1, 2.84090909091, 0.0, 0.0, 1.0, 4.86666666667, 0.0, 0.0, 0.0, 0.0, 0.533333333333, 0.0, 0.0, 0.0, 0.0, 0.333333333333, 0.0, 0.0333333333333, 0.766666666667, 0, RUSSIAN
0.0, 19.0, 0.0, 1.125, 2.9, 0.0, 0.0, 1.0, 5.47368421053, 0.0, 0.0, 0.0, 0.0, 0.421052631579, 0.0, 0.0, 0.0, 0.0, 0.315789473684, 0.0, 0.0526315789474, 0.842105263158, 0, RUSSIAN
0, 4.0, 0, 1.25, 2.8, 0, 0, 0, 4.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1.0, 0, RUSSIAN
