@RELATION
@ATTRIBUTE vowel_cluster_size Continuous
@ATTRIBUTE consonant_cluster_size Continuous
@ATTRIBUTE avg_words_per_sentence Continuous
@ATTRIBUTE avg_chars_per_word Continuous
@ATTRIBUTE percent_latin Continuous
@ATTRIBUTE percent_arabic Continuous
@ATTRIBUTE percent_cyrillic Continuous
@ATTRIBUTE percent_greek Continuous
@ATTRIBUTE language { GREEK, DUTCH, BOSNIAN, UKRAINIAN, VIETNAMESE, NORWEGIAN, CZECH, AFRIKAANS, RUSSIAN, WELSH, GAELIC, ESPERANTO, ARABIC, FRENCH, SWAHILI, TAGALOG, PORTUGUESE, FINNISH, ITALIAN, SPANISH, POLISH, DANISH, GERMAN, KURDISH, SERBIAN, SWEDISH, ENGLISH }
@DATA
1.0, 2.97674418605, 28.0, 5.53571428571, 0, 0, 1.0, 0, SERBIAN
1.0, 2.31707317073, 27.0, 4.48148148148, 0, 0, 1.0, 0, SERBIAN
1.0, 2.07692307692, 10.0, 3.4, 0, 0, 1.0, 0, SERBIAN
1.0, 3.0, 3.0, 4.33333333333, 0, 0, 1.0, 0, SERBIAN
0, 4.66666666667, 3.0, 4.66666666667, 0, 0, 1.0, 0, SERBIAN
1.0, 3.25, 3.0, 4.66666666667, 0, 0, 1.0, 0, SERBIAN
0, 5.0, 3.0, 5.0, 0, 0, 1.0, 0, SERBIAN
1.0, 2.43243243243, 26.0, 4.46153846154, 0, 0, 1.0, 0, SERBIAN
1.0, 2.35714285714, 9.0, 4.44444444444, 0, 0, 1.0, 0, SERBIAN
1.0, 2.46153846154, 10.0, 3.8, 0, 0, 1.0, 0, SERBIAN
1.0, 2.07692307692, 8.0, 4.5, 0, 0, 1.0, 0, SERBIAN
1.0, 2.63636363636, 5.0, 3.5, 0, 0, 1.0, 0, SERBIAN
1.0, 2.32, 15.0, 4.93333333333, 0, 0, 1.0, 0, SERBIAN
1.0, 2.71428571429, 10.0, 4.9, 0, 0, 1.0, 0, SERBIAN
1.0, 2.8, 5.0, 3.6, 0, 0, 1.0, 0, SERBIAN
1.0, 2.47887323944, 22.0, 5.09090909091, 0, 0, 1.0, 0, SERBIAN
1.0, 2.34482758621, 9.0, 4.88888888889, 0, 0, 1.0, 0, SERBIAN
1.0, 3.03571428571, 10.0, 5.3, 0, 0, 1.0, 0, SERBIAN
1.08333333333, 2.52631578947, 1.75, 8.71428571429, 0.714285714286, 0, 0.428571428571, 0, SERBIAN
1.0, 2.875, 2.0, 14.5, 0, 0, 1.0, 0, SERBIAN
1.1, 2.28571428571, 7.0, 6.14285714286, 1.0, 0, 0, 0, POLISH
1.16666666667, 3.11111111111, 4.0, 8.75, 1.0, 0, 0, 0, POLISH
1.16666666667, 3.22222222222, 4.0, 9.0, 1.0, 0, 0, 0, POLISH
1.07692307692, 2.26666666667, 5.0, 9.6, 1.0, 0, 0, 0, POLISH
1.2, 1.72857142857, 12.5, 7.28, 1.0, 0, 0, 0, POLISH
1.09090909091, 1.4, 2.66666666667, 4.125, 1.0, 0, 0, 0, POLISH
1.13333333333, 1.77777777778, 5.0, 9.8, 1.0, 0, 0, 0, POLISH
1.0, 1.75, 7.0, 3.85714285714, 1.0, 0, 0, 0, POLISH
1.0, 2.85714285714, 4.0, 5.5, 1.0, 0, 0, 0, POLISH
1.14285714286, 2.18181818182, 6.0, 5.33333333333, 1.0, 0, 0, 0, POLISH
1.0, 2.2, 6.0, 4.66666666667, 1.0, 0, 0, 0, POLISH
1.0, 2.09090909091, 6.0, 4.66666666667, 1.0, 0, 0, 0, POLISH
1.0, 2.57142857143, 6.0, 3.83333333333, 1.0, 0, 0, 0, POLISH
1.5, 3.0, 4.0, 7.5, 1.0, 0, 0, 0, POLISH
1.33333333333, 2.71428571429, 4.0, 5.75, 1.0, 0, 0, 0, POLISH
1.2, 2.1, 7.0, 3.85714285714, 1.0, 0, 0, 0, POLISH
1.16666666667, 2.44444444444, 6.0, 4.66666666667, 1.0, 0, 0, 0, POLISH
1.0, 2.4, 6.0, 4.66666666667, 1.0, 0, 0, 0, POLISH
1.75, 2.22222222222, 6.0, 4.5, 1.0, 0, 0, 0, POLISH
1.14285714286, 1.84615384615, 7.0, 4.57142857143, 1.0, 0, 0, 0, POLISH
1.0, 3.5, 4.0, 5.75, 1.0, 0, 0, 0, POLISH
1.0, 2.875, 5.0, 5.0, 1.0, 0, 0, 0, POLISH
1.0, 2.22222222222, 6.0, 4.16666666667, 1.0, 0, 0, 0, POLISH
1.0, 2.33333333333, 5.0, 5.0, 1.0, 0, 0, 0, POLISH
1.0, 2.3, 6.0, 4.66666666667, 1.0, 0, 0, 0, POLISH
1.27272727273, 1.90909090909, 3.0, 11.0, 1.0, 0, 0, 0, POLISH
1.18461538462, 1.44705882353, 24.5, 3.97959183673, 1.0, 0, 0, 0, CZECH
1.08, 1.61764705882, 15.0, 5.26666666667, 1.0, 0, 0, 0, CZECH
1.0, 2.54545454545, 5.0, 6.8, 1.0, 0, 0, 0, CZECH
1.33333333333, 2.77777777778, 6.0, 4.83333333333, 1.0, 0, 0, 0, CZECH
1.5, 2.46153846154, 10.0, 4.1, 1.0, 0, 0, 0, CZECH
1.5, 2.22222222222, 8.0, 3.625, 1.0, 0, 0, 0, CZECH
1.4, 2.81818181818, 6.0, 6.33333333333, 1.0, 0, 0, 0, CZECH
1.16666666667, 2.36363636364, 7.0, 4.71428571429, 1.0, 0, 0, 0, CZECH
1.25, 2.81818181818, 8.0, 4.5, 1.0, 0, 0, 0, CZECH
1.1875, 2.04, 12.0, 5.83333333333, 1.0, 0, 0, 0, CZECH
1.5, 2.63636363636, 9.0, 4.22222222222, 1.0, 0, 0, 0, CZECH
1.33333333333, 3.0, 5.0, 5.6, 1.0, 0, 0, 0, CZECH
1.33333333333, 3.0, 6.0, 4.66666666667, 1.0, 0, 0, 0, CZECH
1.4, 2.81818181818, 7.0, 5.42857142857, 1.0, 0, 0, 0, CZECH
1.3, 2.0, 12.0, 4.08333333333, 1.0, 0, 0, 0, CZECH
1.0, 3.11111111111, 6.0, 5.16666666667, 1.0, 0, 0, 0, CZECH
1.6, 2.5, 9.0, 4.22222222222, 1.0, 0, 0, 0, CZECH
1.25, 2.0, 15.0, 3.8, 1.0, 0, 0, 0, CZECH
1.14285714286, 2.46153846154, 6.0, 6.66666666667, 1.0, 0, 0, 0, CZECH
1.2, 2.90909090909, 8.0, 4.75, 1.0, 0, 0, 0, CZECH
1.0, 2.33333333333, 6.0, 4.16666666667, 1.0, 0, 0, 0, CZECH
1.25, 2.2, 7.0, 3.85714285714, 1.0, 0, 0, 0, CZECH
1.0, 1.23076923077, 6.0, 4.16666666667, 1.0, 0, 0, 0, CZECH
1.125, 1.45454545455, 5.0, 5.0, 1.0, 0, 0, 0, CZECH
1.09090909091, 1.28571428571, 6.0, 4.83333333333, 1.0, 0, 0, 0, CZECH
1.1, 1.23076923077, 6.0, 4.33333333333, 1.0, 0, 0, 0, CZECH
1.0, 1.21428571429, 6.0, 4.5, 1.0, 0, 0, 0, CZECH
1.0, 1.36363636364, 5.0, 4.6, 1.0, 0, 0, 0, CZECH
1.42857142857, 1.1, 5.0, 4.0, 1.0, 0, 0, 0, CZECH
1.0, 1.28571428571, 7.0, 5.71428571429, 1.0, 0, 0, 0, CZECH
1.0, 1.44444444444, 5.0, 3.8, 1.0, 0, 0, 0, CZECH
1.14285714286, 1.44444444444, 5.0, 4.0, 1.0, 0, 0, 0, CZECH
1.1, 1.23076923077, 6.0, 4.33333333333, 1.0, 0, 0, 0, CZECH
1.22222222222, 1.30769230769, 6.0, 4.66666666667, 1.0, 0, 0, 0, CZECH
1.1, 1.4, 3.0, 8.33333333333, 1.0, 0, 0, 0, CZECH
1.09090909091, 1.66666666667, 4.0, 7.75, 1.0, 0, 0, 0, CZECH
1.08333333333, 1.46666666667, 4.0, 8.75, 1.0, 0, 0, 0, CZECH
1.2962962963, 1.52941176471, 17.0, 4.58823529412, 1.0, 0, 0, 0, FRENCH
1.21276595745, 1.39837398374, 18.6666666667, 4.94642857143, 1.0, 0, 0, 0, FRENCH
1.13636363636, 1.5, 12.0, 4.91666666667, 1.0, 0, 0, 0, FRENCH
1.2380952381, 1.375, 3.75, 4.53333333333, 1.0, 0, 0, 0, FRENCH
1.19047619048, 1.53571428571, 4.0, 5.66666666667, 1.0, 0, 0, 0, FRENCH
1.27272727273, 1.58620689655, 7.0, 5.28571428571, 1.0, 0, 0, 0, FRENCH
1.33333333333, 1.60975609756, 3.66666666667, 4.59090909091, 1.0, 0, 0, 0, FRENCH
1.3, 2.5652173913, 1.0, 21.25, 1.0, 0, 0, 0, FRENCH
1.3, 1.66666666667, 4.0, 8.0, 1.0, 0, 0, 0, FRENCH
1.23076923077, 1.57142857143, 4.0, 8.75, 1.0, 0, 0, 0, FRENCH
1.1, 1.81818181818, 4.0, 7.0, 1.0, 0, 0, 0, FRENCH
1.22222222222, 1.54545454545, 2.0, 12.5, 1.0, 0, 0, 0, FRENCH
1.3, 1.54545454545, 2.0, 13.5, 1.0, 0, 0, 0, FRENCH
1.23076923077, 1.38461538462, 4.0, 7.75, 1.0, 0, 0, 0, FRENCH
1.08, 1.36, 10.0, 5.8, 1.0, 0, 0, 0, PORTUGUESE
1.0, 2.45454545455, 2.0, 5.83333333333, 1.0, 0, 0, 0, PORTUGUESE
1.17647058824, 1.22222222222, 3.0, 13.3333333333, 1.0, 0, 0, 0, PORTUGUESE
1.23076923077, 1.25, 11.0, 3.27272727273, 1.0, 0, 0, 0, TAGALOG
1.27272727273, 1.45454545455, 5.0, 6.0, 1.0, 0, 0, 0, TAGALOG
1.08333333333, 1.86666666667, 16.0, 7.625, 1.0, 0, 0, 0, GERMAN
1.08163265306, 1.80281690141, 13.0, 6.88461538462, 1.0, 0, 0, 0, GERMAN
1.18604651163, 1.61111111111, 17.0, 8.11764705882, 1.0, 0, 0, 0, GERMAN
1.07692307692, 1.75806451613, 13.0, 6.26923076923, 1.0, 0, 0, 0, GERMAN
1.17333333333, 1.65517241379, 26.0, 8.73076923077, 1.0, 0, 0, 0, GERMAN
1.42857142857, 1.90909090909, 4.0, 7.75, 1.0, 0, 0, 0, GERMAN
1.28571428571, 2.09090909091, 4.0, 8.0, 1.0, 0, 0, 0, GERMAN
1.13333333333, 1.7, 7.0, 7.14285714286, 1.0, 0, 0, 0, GERMAN
1.2, 1.46666666667, 6.0, 5.66666666667, 1.0, 0, 0, 0, GERMAN
1.16216216216, 1.63461538462, 6.33333333333, 6.68421052632, 1.0, 0, 0, 0, GERMAN
1.08333333333, 1.94736842105, 3.0, 5.55555555556, 1.0, 0, 0, 0, GERMAN
1.1, 2.03225806452, 6.0, 7.0, 1.0, 0, 0, 0, GERMAN
1.07692307692, 1.76470588235, 2.0, 11.0, 1.0, 0, 0, 0, GERMAN
1.15, 1.65217391304, 3.0, 10.1666666667, 1.0, 0, 0, 0, GERMAN
1.15, 1.77272727273, 5.0, 12.4, 1.0, 0, 0, 0, GERMAN
1.2, 1.57894736842, 4.0, 11.75, 1.0, 0, 0, 0, GERMAN
1.28571428571, 1.55555555556, 4.0, 11.25, 1.0, 0, 0, 0, GERMAN
1.13636363636, 1.51851851852, 7.0, 9.14285714286, 1.0, 0, 0, 0, GERMAN
1.17647058824, 1.47826086957, 7.0, 7.57142857143, 1.0, 0, 0, 0, GERMAN
1.09090909091, 1.5, 4.0, 15.25, 1.0, 0, 0, 0, GERMAN
1.02222222222, 1.66, 18.0, 6.66666666667, 1.0, 0, 0, 0, SWEDISH
